muc
toi
ot
muoi
tieu
dau an
tom
nuoc mam
duong
thit ga
hanh
rau thom
tuong
banh mi
trung
hanh tay
com
rau cai
ca rot
cu cai trang
bo
gao nep
ca chua
bi do
ca thu
rau ngot
dau phu
dau ha lan
mi goi
cua
su su
nam rom
nam huong
thit bo
pate
rau ma
bia
sa te
ca hoi
cu den
dau phu non
ca chim
rau can
gung
nam meo
ca ngu
cai bo xoi
mang tuoi
khoai lang
ca rot
bun
la chanh
dau me
la que
chanh
me
bot chien gion
sua tuoi
bot tran chau
cai thia
gung tuoi
bap cai
nuoc cot dua
toi tay
la lot
la bac ha
thit heo
thit da dieu
